id,title,overview,poster_path,release_date,runtime,vote_average,genres,backdrop_path,tagline,status,budget,revenue,homepage,popularity,vote_count,Director,Star1,Star2,Star3,Star4,certificate
276,Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","https://m.media-amazon.com/images/M/MV5BNzQzMzJhZTEtOWM4NS00MTdhLTg0YjgtMjM4MDRkZjUwZDBlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1982,117 min,8.1,"[{'name': 'Action'}, {'name': 'Sci-Fi'}, {'name': 'Thriller'}]",,,,0,"32,868,943",,84.0,693827,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,UA
277,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.","https://m.media-amazon.com/images/M/MV5BMDVjNjIwOGItNDE3Ny00OThjLWE0NzQtZTU3YjMzZTZjMzhkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1980,124 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}]",,,,0,,,78.0,220078,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,UA
278,Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","https://m.media-amazon.com/images/M/MV5BMzAwNjU1OTktYjY3Mi00NDY5LWFlZWUtZjhjNGE0OTkwZDkwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1979,94 min,8.1,[{'name': 'Comedy'}],,,,0,"20,045,115",,77.0,367250,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,R
279,The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1978,183 min,8.1,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,"48,979,328",,86.0,311361,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,A
280,Rocky,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"https://m.media-amazon.com/images/M/MV5BMTY5MDMzODUyOF5BMl5BanBnXkFtZTcwMTQ3NTMyNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",1976,120 min,8.1,"[{'name': 'Drama'}, {'name': 'Sport'}]",,,,0,"117,235,247",,70.0,518546,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,U
281,Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,"https://m.media-amazon.com/images/M/MV5BZGNjYjM2MzItZGQzZi00NmY3LTgxOGUtMTQ2MWQxNWQ2MmMwXkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1976,121 min,8.1,[{'name': 'Drama'}],,,,0,,,83.0,144911,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,UA
282,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",1975,185 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,,,89.0,149843,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,PG
283,Zerkalo,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.","https://m.media-amazon.com/images/M/MV5BMTg1MDg3OTk3M15BMl5BanBnXkFtZTgwMDEzMzE5MTE@._V1_UY98_CR0,0,67,98_AL_.jpg",1975,107 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}]",,,,0,"177,345",,,40081,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy,G
284,Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","https://m.media-amazon.com/images/M/MV5BOGMwYmY5ZmEtMzY1Yi00OWJiLTk1Y2MtMzI2MjBhYmZkNTQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1974,130 min,8.1,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"29,000,000",,92.0,294230,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,UA
285,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.","https://m.media-amazon.com/images/M/MV5BOWVmYzQwY2MtOTBjNi00MDNhLWI5OGMtN2RiMDYxODI3MjU5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",1973,102 min,8.1,"[{'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"30,933,743",,77.0,42285,Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,U
286,Viskningar och rop,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.","https://m.media-amazon.com/images/M/MV5BMTg3NzYzOTEtNmE2Ni00M2EyLWJhMjctNjMyMTk4ZTViOGUzXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_UY98_CR0,0,67,98_AL_.jpg",1972,91 min,8.1,[{'name': 'Drama'}],,,,0,"1,742,348",,,30206,Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin,A
287,Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"https://m.media-amazon.com/images/M/MV5BZmY4Yjc0OWQtZDRhMy00ODc2LWI2NGYtMWFlODYyN2VlNDQyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR1,0,67,98_AL_.jpg",1972,167 min,8.1,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Sci-Fi'}]",,,,0,,,90.0,81021,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,PG
288,Le samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,"https://m.media-amazon.com/images/M/MV5BMWFjZjRiM2QtZmRkOC00MDUxLTlhYmQtYmY5ZTNiMTI5Nzc2L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1967,105 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Mystery'}]",,,,0,"39,481",,,45434,Jean-Pierre Melville,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier,GP
289,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","https://m.media-amazon.com/images/M/MV5BOWFlNzZhYmYtYTI5YS00MDQyLWIyNTUtNTRjMWUwNTEzNjA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg",1967,127 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,"16,217,773",,92.0,161984,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,A
290,Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"https://m.media-amazon.com/images/M/MV5BMTM0YzExY2EtMjUyZi00ZmIwLWFkYTktNjY5NmVkYTdkMjI5XkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_UY98_CR0,0,67,98_AL_.jpg",1966,85 min,8.1,"[{'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,,,86.0,103191,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,
291,Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","https://m.media-amazon.com/images/M/MV5BNjM2MjMwNzUzN15BMl5BanBnXkFtZTgwMjEzMzE5MTE@._V1_UY98_CR2,0,67,98_AL_.jpg",1966,205 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,"102,021",,,46947,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,R
292,La battaglia di Algeri,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","https://m.media-amazon.com/images/M/MV5BZWEzMGY4OTQtYTdmMy00M2QwLTliYTQtYWUzYzc3OTA5YzIwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY98_CR1,0,67,98_AL_.jpg",1966,121 min,8.1,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,"55,908",,96.0,53089,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,
293,El ángel exterminador,The guests at an upper-class dinner party find themselves unable to leave.,"https://m.media-amazon.com/images/M/MV5BZTg3M2ExY2EtZmI5Yy00YWM1LTg4NzItZWEzZTgxNzE2MjhhXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UX67_CR0,0,67,98_AL_.jpg",1962,95 min,8.1,"[{'name': 'Drama'}, {'name': 'Fantasy'}]",,,,0,,,,29682,Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera,
294,What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,"https://m.media-amazon.com/images/M/MV5BZmI0M2VmNTgtMWVhYS00Zjg1LTk1YTYtNmJmMjRkZmMwYTc2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg",1962,134 min,8.1,"[{'name': 'Drama'}, {'name': 'Horror'}, {'name': 'Thriller'}]",,,,0,"4,050,000",,75.0,50058,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,Passed
295,Sanjuro,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.","https://m.media-amazon.com/images/M/MV5BZmY3MDlmODctYTY3Yi00NzYyLWIxNTUtYjVlZWZjMmMwZTBkXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",1962,96 min,8.1,"[{'name': 'Action'}, {'name': 'Comedy'}, {'name': 'Crime'}]",,,,0,,,,33044,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,U
296,The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,"https://m.media-amazon.com/images/M/MV5BMGEyNzhkYzktMGMyZS00YzRiLWJlYjktZjJkOTU5ZDY0ZGI4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX67_CR0,0,67,98_AL_.jpg",1962,123 min,8.1,"[{'name': 'Drama'}, {'name': 'Western'}]",,,,0,,,94.0,68827,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,
297,Ivanovo detstvo,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.","https://m.media-amazon.com/images/M/MV5BYTYzYzBhYjQtNDQxYS00MmUwLTkyZjgtZWVkOWFjNzE5OTI2XkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_UX67_CR0,0,67,98_AL_.jpg",1962,95 min,8.1,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,,,,31728,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,
298,Jungfrukällan,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.","https://m.media-amazon.com/images/M/MV5BZjgyMzZkMGUtNTBhZC00OTkzLWI4ZmMtYzcwMzc5MjQ0YTM3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY98_CR3,0,67,98_AL_.jpg",1960,89 min,8.1,[{'name': 'Drama'}],,,,0,"1,526,000",,,26697,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,A
299,Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.","https://m.media-amazon.com/images/M/MV5BMGQ5ODNkNWYtYTgxZS00YjJkLThhODAtYzUwNGNiYjRmNjdkXkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_UY98_CR4,0,67,98_AL_.jpg",1960,128 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,,,75.0,27254,Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York,Passed
300,Les quatre cents coups,"A young boy, left without attention, delves into a life of petty crime.","https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY98_CR3,0,67,98_AL_.jpg",1959,99 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}]",,,,0,,,,105291,François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,
301,Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1959,212 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,"74,700,000",,90.0,219466,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,U
302,Kakushi-toride no san-akunin,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.","https://m.media-amazon.com/images/M/MV5BYjJkN2Y5MTktZDRhOS00NTUwLWFiMzEtMTVlNWU4ODM0Y2E5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY98_CR1,0,67,98_AL_.jpg",1958,139 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}]",,,,0,,,,34797,Akira Kurosawa,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,
303,Le notti di Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,"https://m.media-amazon.com/images/M/MV5BOTdhNmUxZmQtNmMwNC00MzE3LWE1MTUtZDgxZTYwYjEzZjcwXkEyXkFqcGdeQXVyNTA1NjYyMDk@._V1_UY98_CR0,0,67,98_AL_.jpg",1957,110 min,8.1,[{'name': 'Drama'}],,,,0,"752,045",,,42940,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,
304,Kumonosu-jô,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.","https://m.media-amazon.com/images/M/MV5BNGYxZjA2M2ItYTRmNS00NzRmLWJkYzgtYTdiNGFlZDI5ZjNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY98_CR0,0,67,98_AL_.jpg",1957,110 min,8.1,"[{'name': 'Drama'}, {'name': 'History'}]",,,,0,,,,46678,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura,
305,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.","https://m.media-amazon.com/images/M/MV5BMGVhNjhjODktODgxYS00MDdhLTlkZjktYTkyNzQxMTU0ZDYxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1957,161 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'War'}]",,,,0,"44,908,000",,87.0,203463,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,PG
306,On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1954,108 min,8.1,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,"9,600,000",,91.0,142107,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,A
307,Le salaire de la peur,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR0,0,67,98_AL_.jpg",1953,131 min,8.1,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Thriller'}]",,,,0,,,85.0,54588,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,U
308,Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","https://m.media-amazon.com/images/M/MV5BNDUzZjlhZTYtN2E5MS00ODQ3LWI1ZjgtNzdiZmI0NTZiZTljXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_UX67_CR0,0,67,98_AL_.jpg",1951,111 min,8.1,"[{'name': 'Drama'}, {'name': 'Film-Noir'}]",,,,0,"3,969,893",,72.0,31568,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,Approved
309,White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"https://m.media-amazon.com/images/M/MV5BZmI5NTA3MjItYzdhMi00MWMxLTg3OWMtYWQyYjg5MTFmM2U0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1949,114 min,8.1,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]",,,,0,,,,29807,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,
310,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","https://m.media-amazon.com/images/M/MV5BYjE2OTdhMWUtOGJlMy00ZDViLWIzZjgtYjZkZGZmMDZjYmEyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1949,104 min,8.1,"[{'name': 'Film-Noir'}, {'name': 'Mystery'}, {'name': 'Thriller'}]",,,,0,"449,191",,97.0,158731,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,Approved
311,The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"https://m.media-amazon.com/images/M/MV5BOWRmNGEwZjUtZjEwNS00OGZmLThhMmEtZTJlMTU5MGQ3ZWUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1948,135 min,8.1,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]",,,,0,"10,900,000",,,30935,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,
312,The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.","https://m.media-amazon.com/images/M/MV5BNzc1MTcyNTQ5N15BMl5BanBnXkFtZTgwMzgwMDI0MjE@._V1_UX67_CR0,0,67,98_AL_.jpg",1940,99 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"203,300",,96.0,28450,Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,
313,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY98_CR0,0,67,98_AL_.jpg",1940,130 min,8.1,"[{'name': 'Drama'}, {'name': 'Mystery'}, {'name': 'Romance'}]",,,,0,"4,360,000",,86.0,123942,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,Approved
314,Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","https://m.media-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1939,129 min,8.1,"[{'name': 'Comedy'}, {'name': 'Drama'}]",,,,0,"9,600,000",,73.0,107017,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,Passed
315,Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"https://m.media-amazon.com/images/M/MV5BYjUyZWZkM2UtMzYxYy00ZmQ3LWFmZTQtOGE2YjBkNjA3YWZlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1939,238 min,8.1,"[{'name': 'Drama'}, {'name': 'History'}, {'name': 'Romance'}]",,,,0,"198,676,459",,97.0,290074,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,U
316,La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.","https://m.media-amazon.com/images/M/MV5BMTg3MTI5NTk0N15BMl5BanBnXkFtZTgwMjU1MDM5MTE@._V1_UY98_CR2,0,67,98_AL_.jpg",1937,113 min,8.1,"[{'name': 'Drama'}, {'name': 'War'}]",,,,0,"172,885",,,33829,Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,
317,It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.","https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",1934,105 min,8.1,"[{'name': 'Comedy'}, {'name': 'Romance'}]",,,,0,"4,360,000",,87.0,94016,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,Approved
318,La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",1928,110 min,8.1,"[{'name': 'Biography'}, {'name': 'Drama'}, {'name': 'History'}]",,,,0,"21,877",,,47676,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,Passed
319,The Circus,The Tramp finds work and the girl of his dreams at a circus.,"https://m.media-amazon.com/images/M/MV5BM2QwYWQ0MWMtNzcwOC00N2Q2LWE1MDEtZmQxZjhiM2U1YzFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1928,72 min,8.1,"[{'name': 'Comedy'}, {'name': 'Romance'}]",,,,0,,,90.0,30205,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,Passed
320,Sunrise: A Song of Two Humans,An allegorical tale about a man fighting the good and evil within him. Both sides are made flesh - one a sophisticated woman he is attracted to and the other his wife.,"https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",1927,94 min,8.1,"[{'name': 'Drama'}, {'name': 'Romance'}]",,,,0,"539,540",,,46865,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,Passed
321,The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",1926,67 min,8.1,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Comedy'}]",,,,0,"1,033,895",,,81156,Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,Passed
322,Das Cabinet des Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",1920,76 min,8.1,"[{'name': 'Fantasy'}, {'name': 'Horror'}, {'name': 'Mystery'}]",,,,0,,,,57428,Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover,
